stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,on_demand
stop_354_274519,118-1t,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","01",50.080257,20.026561,1,,0,,,,,0
stop_354_274529,118-2t,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","02",50.07905,20.026486,1,,0,,,,,0
stop_354_274539,118-3t,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","03",50.080062,20.028408,1,,0,,,,,0
stop_354_274549,118-4t,"Rondo Kocmyrzowskie im. Ks. Gorzelanego","04",50.079056,20.02806,1,,0,,,,,0
stop_361_282119,489-1t,"Łagiewniki ZUS","01",50.024577,19.933922,1,,0,,,,,0
stop_386_285919,810-1t,"Teatr Variété","01",50.058858,19.962529,1,,0,,,,,0
stop_386_285929,810-2t,"Teatr Variété","02",50.058827,19.962374,1,,0,,,,,0
stop_424_287019,470-1t,"Dworzec Płaszów Estakada","01",50.033556,19.977196,1,,0,,,,,0
stop_424_287029,470-2t,"Dworzec Płaszów Estakada","02",50.033468,19.976946,1,,0,,,,,0
stop_425_287119,112-1t,"TAURON Arena Kraków Al. Pokoju","01",50.064188,19.988978,1,,0,,,,,0
stop_425_287129,112-2t,"TAURON Arena Kraków Al. Pokoju","02",50.064416,19.990077,1,,0,,,,,0
stop_568_303219,833-1t,"Stary Kleparz","01",50.066314,19.939721,1,,0,,,,,0
stop_568_303229,833-2t,"Stary Kleparz","02",50.066234,19.938562,1,,0,,,,,0
stop_568_303239,833-3t,"Stary Kleparz","03",50.06666,19.93895,1,,0,,,,,0
stop_570_303619,382-1t,"Szpital Narutowicza","01",50.080794,19.93763,1,,0,,,,,0
stop_570_303629,382-2t,"Szpital Narutowicza","02",50.080625,19.937974,1,,0,,,,,0
stop_571_303719,120-1t,"Cienista","01",50.08539,20.03852,1,,0,,,,,0
stop_571_303729,120-2t,"Cienista","02",50.08492,20.03772,1,,0,,,,,0
stop_572_303819,293-1t,"Czerwone Maki P+R","01",50.017986,19.889106,1,,0,,,,,0
stop_574_21,805-73t,"TAURON Arena Kraków Wieczysta","73",50.071944,19.984845,1,,0,,,,,0
stop_574_304019,805-1t,"TAURON Arena Kraków Wieczysta","01",50.071785,19.983839,1,,0,,,,,0
stop_574_304029,805-2t,"TAURON Arena Kraków Wieczysta","02",50.071103,19.982871,1,,0,,,,,0
stop_574_304039,805-3t,"TAURON Arena Kraków Wieczysta","03",50.072108,19.985169,1,,0,,,,,0
stop_575_304119,115-1t,"Rondo 308. Dywizjonu","01",50.067352,20.005379,1,,0,,,,,0
stop_575_304129,115-2t,"Rondo 308. Dywizjonu","02",50.067398,20.005374,1,,0,,,,,0
stop_782_314119,825-1t,"Muzeum Narodowe","01",50.059525,19.92554,1,,0,,,,,0
stop_782_314129,825-2t,"Muzeum Narodowe","02",50.059326,19.924504,1,,0,,,,,0
